CS_WarnFriendlyDamageInterval | gamedll,cheat | Defines how frequently the server notifies clients that a player damaged a friend
nav_draw_area_connections | gamedll,cheat | 
nav_draw_area_filled | gamedll,cheat | 
nav_draw_area_gravity | gamedll,cheat | 
nav_draw_area_ground | gamedll,cheat | 
nav_draw_area_hull_support | gamedll,cheat | 
nav_draw_area_ids | gamedll,cheat | 
nav_draw_area_inset_margin | gamedll,cheat | 
nav_draw_area_normal | gamedll,cheat | 
nav_draw_area_should_be_destroyed | gamedll,cheat | 
nav_draw_area_split_by_obstacle_mgr | gamedll,cheat | 
nav_draw_area_ztest | gamedll,cheat | 
nav_draw_attribute_dynamic | developmentonly,gamedll | Draw all nav areas with this dynamic attribute
nav_draw_attribute_game | developmentonly,gamedll | Draw all nav areas with this game attribute
nav_draw_attribute_space | developmentonly,gamedll | Draw only nav blocks with this attribute
nav_draw_blocked | gamedll,cheat | 
nav_draw_blocked_connections | gamedll,cheat | 
nav_draw_boundary_areas | gamedll,cheat | 
nav_draw_connected_area_radius | gamedll,cheat | 
nav_draw_dangerareas | gamedll,cheat | 
nav_draw_dormant_movable_meshes | gamedll,cheat | Draw dormant movable meshes.
nav_draw_externally_created | gamedll,cheat | 
nav_draw_flow_map | gamedll,cheat | 
nav_draw_hidingspots | gamedll,cheat | 
nav_draw_indirect_connections | gamedll,cheat | 
nav_draw_jump_links | gamedll,cheat | 
nav_draw_limit | gamedll,cheat | The maximum number of areas to draw in edit mode
nav_draw_link_alignment | gamedll,cheat | 
nav_draw_links | gamedll,cheat | 
nav_draw_markup | gamedll,cheat | 
nav_draw_mesh | gamedll,cheat | 
nav_draw_mesh_grid | gamedll,cheat | Draw the mesh's spatial grid structure around the edit cursor position.
nav_draw_mesh_offset | gamedll,cheat | Vertical offset for drawing the mesh (useful for flat planes where the mesh is often a fixed offset from the physical ground
nav_draw_space_boundary | developmentonly,gamedll | Draw the boundaries of the 3d nav space. 1 = draw flying space, 2 = draw swimming space
nav_draw_space_cells | developmentonly,gamedll | 
nav_draw_space_fly | developmentonly,gamedll | 
nav_draw_space_neighbors | developmentonly,gamedll | 
nav_draw_space_portals | developmentonly,gamedll | 
nav_draw_space_radius | developmentonly,gamedll | 
nav_draw_space_swim | developmentonly,gamedll | 
nav_draw_space_transitions | developmentonly,gamedll | 
nav_edit | gamedll,cheat | Set to one to interactively edit the Navigation Mesh. Set to zero to leave edit mode.
nav_edit_draw_navlinks | gamedll,cheat | 
nav_edit_use_camera | gamedll,cheat | 
nav_edit_validate | gamedll,cheat | Validate navmesh structures.
nav_find_occluded_node_nozup_use_raycast | gamedll,cheat | 
nav_flow_map_enabled | developmentonly,gamedll | 
nav_gen_add_jumps | gamedll,cheat | 
nav_gen_agent_radius_buffer | gamedll,cheat | Buffer to add to agent radius before passing to nav gen
nav_gen_clip_polys_to_clearance | gamedll,cheat | 
nav_gen_clip_polys_to_clearance_debug | gamedll,cheat | 
nav_gen_connect_allow_multiple | gamedll,cheat | 
nav_gen_connect_angle | gamedll,cheat | 
nav_gen_connect_angle_ignore_z | gamedll,cheat | 
nav_gen_connect_dist_a | gamedll,cheat | 
nav_gen_connect_dist_b | gamedll,cheat | 
nav_gen_connect_dist_z_mult | gamedll,cheat | 
nav_gen_connect_overlap | gamedll,cheat | 
nav_gen_degen_limit | gamedll,cheat | 
nav_gen_false | gamedll,cheat | Always false
nav_gen_island_removal | gamedll,cheat | 
nav_gen_island_removal_all_hulls | gamedll,cheat | 
nav_gen_join_nonzup | gamedll,cheat | 
nav_gen_jump_connection_min_overlap_ratio | gamedll,cheat | Minimum edge overlap required for jump connection consideration as a percentage of agent radius
nav_gen_markup_split_expand | gamedll,cheat | 
nav_gen_markup_split_tol_base | gamedll,cheat | 
nav_gen_markup_split_tol_nonav | gamedll,cheat | 
nav_gen_markup_split_tol_nonentity | gamedll,cheat | 
nav_gen_max_bottleneck_width | gamedll,cheat | 
nav_gen_max_bottleneck_width_do_clip | gamedll,cheat | 
nav_gen_max_edge_len | gamedll,cheat | 
nav_gen_max_edge_len_do_clip | gamedll,cheat | 
nav_gen_max_edge_len_split_tol | gamedll,cheat | 
nav_gen_opt_to_quads | gamedll,cheat | 
nav_gen_opt_to_quads_angle_limit | gamedll,cheat | 
nav_gen_opt_to_quads_num_steps | gamedll,cheat | 
nav_gen_opt_to_quads_planar_deviation_limit | gamedll,cheat | 
nav_gen_opt_to_quads_se_limit_end | gamedll,cheat | 
nav_gen_opt_to_quads_se_limit_start | gamedll,cheat | 
nav_gen_opt_to_quads_weld_limit_end | gamedll,cheat | 
nav_gen_opt_to_quads_weld_limit_start | gamedll,cheat | 
nav_gen_oriented_angle_tol | gamedll,cheat | Max abrupt orientation difference an NPC can tolerate when moving through the mesh (degrees).
nav_gen_oriented_max_region_range | gamedll,cheat | Max orientation range allowed within a region before it gets further split.
nav_gen_remove_vertical_polys | gamedll,cheat | 
nav_gen_split_boundary_polys | gamedll,cheat | 
nav_gen_split_multi_connection_polys | gamedll,cheat | 
nav_gen_split_multi_connection_polys_tol | gamedll,cheat | 
nav_gen_true | gamedll,cheat | Always true
nav_gen_vertical_limit | gamedll,cheat | 
nav_genrt_debug | gamedll,cheat | 
nav_ignore_vpk_navdata | developmentonly,gamedll | For testing using legacy nav data
nav_max_view_distance | gamedll,cheat | Maximum range for precomputed nav mesh visibility (0 = default 1500 units)
nav_obstacle_validate | gamedll,cheat | 
nav_obstruction_async_update | developmentonly,gamedll | 
nav_obstruction_draw | gamedll,cheat | 
nav_obstruction_draw_change | gamedll,cheat | 
nav_obstruction_draw_dist | gamedll,cheat | 
nav_obstruction_draw_island | gamedll,cheat | 
nav_obstruction_draw_island_hull | gamedll,cheat | 
nav_obstruction_draw_movefail_blocking | gamedll,cheat | 
nav_path_debug | gamedll,cheat | 
nav_path_draw_areas | gamedll,cheat | 
nav_path_draw_arrow | gamedll,cheat | 
nav_path_draw_climb_segments | gamedll,cheat | 
nav_path_draw_connected_areas | gamedll,cheat | 
nav_path_draw_ground_segments | gamedll,cheat | 
nav_path_draw_jump_segments | gamedll,cheat | 
nav_path_draw_ladder_segments | gamedll,cheat | 
nav_path_draw_link_segments | gamedll,cheat | 
nav_path_draw_tick | gamedll,cheat | 
nav_path_fixup_climb_up_segments | gamedll,cheat | 
nav_path_fixup_gap_segments | gamedll,cheat | 
nav_path_jump_process_debug | gamedll,cheat | 
nav_path_optimize | gamedll,cheat | 
nav_path_optimize_portals | gamedll,cheat | 
nav_path_optimizer_debug | gamedll,cheat | 
nav_pathfind_debug_log | gamedll,cheat | 
nav_pathfind_draw | gamedll,cheat | 
nav_pathfind_draw_blocked | gamedll,cheat | 
nav_pathfind_draw_costs | gamedll,cheat | 
nav_pathfind_draw_fail | gamedll,cheat | 
nav_pathfind_draw_total_costs | gamedll,cheat | 
nav_pathfind_inadmissable_heuristic_factor | gamedll,cheat | 
nav_pathfind_multithread | gamedll,cheat | 
nav_potentially_visible_dot_tolerance | gamedll,cheat | 
nav_recorder_enabled | gamedll,cheat | 
nav_select_allow_blocked | gamedll,cheat | When selecting an area under nav_edit, allow area marked as blocked.
nav_select_area_id | gamedll,cheat | Select nav area with matching ID.
nav_select_block_id | gamedll,cheat | Select nav space block with matching ID.
nav_select_hull | gamedll,cheat | Restrict area selection to areas that can support a hull of the given category
nav_show_area_connections | gamedll,cheat | Show connections to selected area when true
nav_show_area_verts | gamedll,cheat | Show area vertex positions
nav_show_area_water_info | gamedll,cheat | 
nav_show_elem_info | gamedll,cheat | 
nav_show_elem_info_font | gamedll,cheat | 
nav_show_elem_info_font_size | gamedll,cheat | 
nav_show_elem_info_font_voffset | gamedll,cheat | 
nav_smooth_constrain_spline | gamedll,cheat | 
nav_smooth_constrain_spline_relax | gamedll,cheat | 
nav_smooth_constrain_spring | gamedll,cheat | 
nav_smooth_constrain_spring_relax | gamedll,cheat | 
nav_smooth_draw_boundary | gamedll,cheat | 
nav_smooth_draw_calc | gamedll,cheat | 
nav_smooth_draw_constraint_spline | gamedll,cheat | 
nav_smooth_draw_constraint_spring | gamedll,cheat | 
nav_smooth_draw_speed | gamedll,cheat | 
nav_smooth_enable | gamedll,cheat | 
nav_smooth_push_from_walls | developmentonly,gamedll | 
nav_smooth_relax | gamedll,cheat | 
nav_smooth_relax_use_timesteps | gamedll,cheat | 
nav_smooth_spring_const_override | gamedll,cheat | 
nav_smooth_spring_enable | gamedll,cheat | 
nav_smooth_spring_factor_deriv | gamedll,cheat | 
nav_smooth_spring_factor_dist | gamedll,cheat | 
nav_smooth_spring_factor_speed | gamedll,cheat | 
nav_smooth_spring_forward_dist_base | gamedll,cheat | 
nav_smooth_spring_forward_dist_time_limit | gamedll,cheat | 
nav_smooth_spring_max_dist | gamedll,cheat | 
nav_smooth_spring_tension_max_override | gamedll,cheat | 
nav_smooth_spring_timestep_factor_accel | gamedll,cheat | 
nav_smooth_spring_timestep_factor_speed | gamedll,cheat | 
nav_smooth_spring_timestep_max | gamedll,cheat | 
nav_smooth_spring_timestep_min | gamedll,cheat | 
nav_smooth_spring_yaw_rotation_speed | gamedll,cheat | 
nav_smooth_spring_yaw_threshold | gamedll,cheat | 
nav_space_select_dist | gamedll,cheat | 
nav_split_show_line | gamedll,cheat | Show the free split line.
nav_test_area_gravity | gamedll,cheat | 
nav_test_bfs_lattice_dist_0 | gamedll,cheat | 
nav_test_bfs_lattice_dist_1 | gamedll,cheat | 
nav_test_bfs_lattice_dist_2 | gamedll,cheat | 
nav_test_bfs_lattice_hex | gamedll,cheat | Demonstrates searching hexagonal lattice over nav mesh.
nav_test_bfs_lattice_mark | gamedll,cheat | 
nav_test_bfs_lattice_simple | gamedll,cheat | 
nav_test_bfs_lattice_spacing_0 | gamedll,cheat | 
nav_test_bfs_lattice_spacing_1 | gamedll,cheat | 
nav_test_bfs_lattice_spacing_2 | gamedll,cheat | 
nav_test_bfs_simple | gamedll,cheat | 
nav_test_boundary_zone_circle | gamedll,cheat | 
nav_test_boundary_zone_force | gamedll,cheat | 
nav_test_boundary_zone_grid_dim | gamedll,cheat | 
nav_test_boundary_zone_path | gamedll,cheat | 
nav_test_boundary_zone_rays | gamedll,cheat | 
nav_test_boundary_zone_rays_margin | gamedll,cheat | 
nav_test_boundary_zone_rays_random | gamedll,cheat | 
nav_test_boundary_zone_sphere | gamedll,cheat | 
nav_test_curve_opt | gamedll,cheat | 
nav_test_detour | gamedll,cheat | 
nav_test_find_nearest | gamedll,cheat | Calculate the nearest point on the navmesh to the trace point.  Uses selection from nav_select_hull.
nav_test_find_nearest_clear | gamedll,cheat | Calculate the nearest point on the navmesh to the trace point.  Uses selection from nav_select_hull.
nav_test_find_random_connected | gamedll,cheat | Demonstrates finding random points that are connected in the nav mesh to the start point.
nav_test_find_random_connected_dist_max | gamedll,cheat | 
nav_test_find_random_connected_dist_min | gamedll,cheat | 
nav_test_find_z | gamedll,cheat | 
nav_test_force_npc_repath | gamedll,cheat | 
nav_test_genrt | gamedll,cheat | 
nav_test_genrt_place | gamedll,cheat | 
nav_test_genrt_tile_removal_extent | gamedll,cheat | 
nav_test_genrt_tile_removal_place | gamedll,cheat | 
nav_test_getareaoverlapping_gravity | gamedll,cheat | 
nav_test_getnearestnav_gravity | gamedll,cheat | 
nav_test_multi_connection | gamedll,cheat | 
nav_test_npc_area | gamedll,cheat | 
nav_test_npc_collision | gamedll,cheat | 
nav_test_npc_collision_range | gamedll,cheat | 
nav_test_npc_collision_show_geometry | gamedll,cheat | 
nav_test_path | gamedll,cheat | Calculate and draw a path from player/camera position to the test position.
nav_test_path_lock_goal | gamedll,cheat | Lock the pathfinding goal to the current intersection point.
nav_test_path_lock_start | gamedll,cheat | Lock the pathfinding start to the current intersection point.
nav_test_path_move | gamedll,cheat | 
nav_test_path_opt | gamedll,cheat | Enable path optimization for nav_edit_path paths.
nav_test_path_opt_transitions | gamedll,cheat | 
nav_test_path_return | gamedll,cheat | Calculate a return path from cursor position to the path calculated by nav_test_path.
nav_test_path_space | gamedll,cheat | Should nav_test_path test 3d navigation?  1 = space to space, 2 = multi-modal space/ground
nav_test_path_space_fly | gamedll,cheat | Test flight paths
nav_test_path_space_swim | gamedll,cheat | Test swim paths
nav_test_pos_name | developmentonly,gamedll,defensive | 
nav_test_pos_place | developmentonly,gamedll,defensive | 
nav_test_ray_space | gamedll,cheat | 
nav_test_rays | gamedll,cheat | 
nav_test_rays_use_npc_move | gamedll,cheat | 
nav_test_search_on_path | gamedll,cheat | Test the 'on path' search mode for tactical searches. Requires a selected NPC with a current path.
nav_test_search_on_path_boundary_edges_only | gamedll,cheat | Activate the 'boundary edges only' constraint when testing the 'on path' search mode for tactical searches.
nav_test_search_on_path_setgoal | gamedll,cheat | Test the 'on path' search mode for tactical searches using SetGoal w/ possible path clipping (flips between 2 searches). Requires a selected NPC.
nav_test_smooth | gamedll,cheat | 
nav_test_smooth_extern_push | gamedll,cheat | 
nav_test_smooth_in_speed | gamedll,cheat | 
nav_test_smooth_in_yaw | gamedll,cheat | 
nav_test_smooth_path_speed | gamedll,cheat | 
nav_test_smooth_separating_dist | gamedll,cheat | 
nav_test_smooth_spring_const | gamedll,cheat | 
nav_test_smooth_spring_tension_max | gamedll,cheat | 
nav_test_spline | gamedll,cheat | 
nav_test_split_obstacle | gamedll,cheat | 
nav_test_split_obstacle_dirty | gamedll,cheat | 
nav_test_split_obstacle_leave | gamedll,cheat | 
nav_test_split_obstacle_size | gamedll,cheat | 
nav_test_split_obstacle_update_pos | gamedll,cheat | 
nav_volume_debug | gamedll,cheat | Draw or print debug information about nav volume queries.
navspace_create_water_smooth_connections | gamedll,cheat | 
navspace_create_water_transition_connections | gamedll,cheat | 
navspace_debug_pathfind | gamedll,cheat | 
navspace_debug_stringpull | gamedll,cheat | 
navspace_debug_trace | gamedll,cheat | 
navspace_debug_transition_calc | gamedll,cheat | 
navspace_draw_changes_blocks | gamedll,cheat | Draw blocks when they change
navspace_draw_changes_waters | gamedll,cheat | Draw water volumes when they change
navspace_path_use_water_level_locator | gamedll,cheat | 
net_async_clientconnect | developmentonly,defensive | Enable async client connect optimization
net_async_job_random_sleep | developmentonly,defensive | Sleep randomly 0..net_async_job_random_sleep ms in the parallel server jobs; sleep is per job
net_client_steamdatagram_enable_override | clientdll,release | 0: Use connect method requested by GC.  >0: Always use SDR if possible.  <0: Always use direct UDP if possible
net_debug_to_file | developmentonly,gamedll,defensive | 
net_showeventlisteners | developmentonly,gamedll,defensive | Show listening addition/removals
net_showevents | developmentonly,gamedll,defensive | Dump game events to console (1=client only, 2=all).
nextlevel | gamedll,release | If set to a valid map name, will trigger a changelevel to the specified map at the end of the round
nextmap_print_enabled | gamedll,release | When enabled prints next map to clients
nextmode | gamedll,replicated,release | Sets the game mode to be played when the next level loads
noclip_fixup | gamedll,cheat | 
npc_record_snapshot_data | developmentonly,gamedll | 
npcsolve_attract_draw | developmentonly,gamedll,defensive | 
npcsolve_constraint_nav | developmentonly,gamedll,defensive | 
npcsolve_constraint_npc | developmentonly,gamedll,defensive | 
npcsolve_drag_linear | developmentonly,gamedll,defensive | 
npcsolve_forward | developmentonly,gamedll,defensive | 
npcsolve_forward_const | developmentonly,gamedll,defensive | 
npcsolve_forward_dist | developmentonly,gamedll,defensive | 
npcsolve_forward_margin | developmentonly,gamedll,defensive | 
npcsolve_path_close_const | developmentonly,gamedll,defensive | 
npcsolve_path_close_max_tension | developmentonly,gamedll,defensive | 
npcsolve_path_lookahead_const | developmentonly,gamedll,defensive | 
npcsolve_path_lookahead_dist | developmentonly,gamedll,defensive | 
npcsolve_path_vel_const | developmentonly,gamedll,defensive | 
npcsolve_separation | developmentonly,gamedll,defensive | 
npcsolve_separation_const | developmentonly,gamedll,defensive | 
npcsolve_separation_dist | developmentonly,gamedll,defensive | 
npcsolve_separation_draw | developmentonly,gamedll,defensive | 
npcsolve_separation_jitter | developmentonly,gamedll,defensive | 
npcsolve_separation_r2 | developmentonly,gamedll,defensive | 
option_duck_method | clientdll,per_user | Input toggle control
option_speed_method | clientdll,per_user | Input toggle control
opus_encode_test_signal | developmentonly | 
panorama_async_compute_mipgen | developmentonly,clientdll | use asynchronous compute for mipmap generation.
panorama_console_max_autocomplete | developmentonly,clientdll,hidden,defensive | 
panorama_console_max_history | developmentonly,clientdll,hidden,defensive | 
panorama_console_max_lines | developmentonly,clientdll,hidden,defensive | 
panorama_console_position_and_size | clientdll,hidden | 
panorama_daisy_wheel | developmentonly,clientdll,hidden,defensive | Daisy wheel input mode: RS | ABXY
panorama_debug_movies | developmentonly,clientdll,hidden,defensive | 
panorama_debug_overlay_opacity | reference | 
panorama_debug_overlay_opacity_max | reference | 
panorama_debug_overlay_opacity_min | reference | 
panorama_debugger_theme | clientdll | 
panorama_dragscroll_maxflickvelocity | developmentonly,clientdll,hidden,defensive | Maximum velocity for a drag scroll flick
panorama_dragscroll_minflickvelocity | developmentonly,clientdll,hidden,defensive | Minimum velocity that the mouse must be moving as mouse up time to qualify as a drag scroll flick
panorama_focus_world_panels | clientdll | when set request key focus when a world panel is enabled
panorama_label_draw_rects | developmentonly,clientdll,hidden,defensive | When labels paint, draw the rectangles for the character ranges. 0 = none, 1 = all, 2 = text only, 3 = inline objects only
panorama_label_wrap_before_shrink | developmentonly,clientdll,hidden,defensive | Should labels try to wrap text before using text-overflow: shrink
panorama_movie_async_load_size_bytes | developmentonly,clientdll,hidden,defensive | 
panorama_movie_force_not_ready_behavior | developmentonly,clientdll,hidden,defensive | 
panorama_streaming_load_local_images | developmentonly,clientdll,defensive | 
panorama_transition_time_factor | reference | 
panorama_worldpanel_update_cull_distance | developmentonly,clientdll,defensive | 
panorama_worldpanel_update_cull_size_threshold | developmentonly,clientdll,defensive | 
panorama_worldpanel_update_culling | developmentonly,clientdll,defensive | 
parallel_perform_invalidate_physics | developmentonly,gamedll,clientdll,replicated | 
parallel_update_surrounding_bounds_in_spatial_partition_update | developmentonly,gamedll,clientdll,replicated | 
particle_cluster_debug | developmentonly,gamedll,clientdll,replicated,defensive | 
particle_cluster_manager_search_dist | developmentonly,gamedll,clientdll,replicated,defensive | 
particle_cluster_nodraw | developmentonly,gamedll,clientdll,replicated,defensive | 
particle_cluster_use_collision_hulls | developmentonly,gamedll,clientdll,replicated,defensive | 
particle_test_attach_attachment | gamedll,cheat | Attachment index for attachment mode
particle_test_attach_mode | gamedll,cheat | Possible Values: 'start_at_attachment', 'follow_attachment', 'start_at_origin', 'follow_origin'
particle_test_file | gamedll,cheat | Name of the particle system to dynamically spawn
partybrowser_throttle_data | developmentonly,clientdll | 
partybrowser_timeout | developmentonly,clientdll | 
password | dontrecord,server_cannot_query | Current server access password
path_closest_point_debug | developmentonly,gamedll,clientdll,replicated | 
path_node_evaluation_debug | developmentonly,gamedll,clientdll,replicated | 
pawn_mimic_all | developmentonly,gamedll,clientdll,replicated | 
phonemedelay | developmentonly,clientdll,defensive | Phoneme delay to account for sound system latency.
phonemefilter | developmentonly,clientdll,defensive | Time duration of box filter to pass over phonemes.
phonemesnap | developmentonly,clientdll,defensive | Lod at level at which visemes stops always considering two phonemes, regardless of duration.
phys_batch_ray_test | developmentonly,clientdll,defensive | 
phys_continuous_kinematic_update | developmentonly,gamedll,clientdll,replicated,defensive | 
phys_dynamic_scaling | gamedll,clientdll,replicated,cheat | 
phys_expensive_shape_threshold | clientdll,cheat | 
phys_force_controller_debug | developmentonly,gamedll | 
phys_headshotscale | developmentonly,gamedll,clientdll,replicated,defensive | Modifier for the headshot impulse hits on players
phys_highlight_expensive_objects | cheat | Highlight expensive physics objects
phys_highlight_expensive_objects_strength | cheat | Highlight expensive physics objects strength
phys_impactforcescale | developmentonly,gamedll,defensive | 
phys_joint_teleport | gamedll,cheat | Teleport joint anchors if connected to world
phys_length_damping_ratio | gamedll,cheat | Spring damping ratio for length constraint
phys_length_frequency | gamedll,cheat | Spring stiffness for length constraint
phys_log_updaters | developmentonly,gamedll,clientdll,replicated,defensive | 
phys_log_updaters_exclude | developmentonly,gamedll,clientdll,replicated,defensive | 
phys_log_updaters_include | developmentonly,gamedll,clientdll,replicated,defensive | 
phys_multithreading_enabled | developmentonly,gamedll,clientdll,replicated,defensive | Enable/Disable Multithreading in VPhysics
phys_playerscale | developmentonly,gamedll,clientdll,replicated,defensive | This multiplies the bullet impact impuse on players for more dramatic results when players are shot.
phys_powered_ragdoll_debug | developmentonly,gamedll,clientdll,replicated,defensive | 
phys_pushscale | developmentonly,gamedll,clientdll,replicated,defensive | 
phys_shoot_angular_speed | developmentonly,gamedll,defensive | 
phys_shoot_speed | developmentonly,gamedll,defensive | 
phys_show_stats | developmentonly,gamedll,clientdll,replicated,defensive | 
phys_stressbodyweights | developmentonly,gamedll,defensive | 
phys_threaded_cloth_bone_update | developmentonly,gamedll,clientdll,replicated,defensive | 
phys_threaded_kinematic_bone_update | developmentonly,gamedll,clientdll,replicated,defensive | 
phys_threaded_transform_update | developmentonly,gamedll,clientdll,replicated,defensive | 
phys_timescale | developmentonly,gamedll,defensive | Scale time for physics
phys_upimpactforcescale | developmentonly,gamedll,defensive | 
phys_use_block_solver | gamedll,cheat | Use block solving for constraint entities
phys_vehicleimpactforcescale | developmentonly,gamedll,defensive | 
phys_visualize_awake_dynamic_only | developmentonly,gamedll,clientdll,replicated,defensive | 
phys_visualize_awake_unattached_only | developmentonly,gamedll,clientdll,replicated,defensive | 
phys_wind_force_scale | developmentonly,gamedll,clientdll,replicated | Scale on the force wind applies to physics bodies
pickup_check_period | developmentonly,gamedll,defensive | 
player0_using_joystick |  | 
player_botdifflast_s | clientdll,release | 
player_competitive_maplist_2v2_10_0_D684D4E1 | clientdll | 
player_competitive_maplist_8_10_0_A062AC6A | clientdll | 
player_debug_off_nav | gamedll,cheat | 
player_debug_print_damage | gamedll,cheat | When true, print amount and type of all damage received by player to console.
player_nevershow_communityservermessage | clientdll,per_user | 
player_ping_token_cooldown | gamedll,cheat,release | Cooldown for how long it takes for a player's ping token to refresh allowing them to ping again (they get 5 tokens).
player_survival_list_10_0_303 | clientdll | 
player_teamplayedlast | clientdll,per_user | 
player_use_radius | gamedll,clientdll,replicated,cheat | 
player_wargames_list2_10_0_0 | clientdll | 
population_distribution_debug | developmentonly,gamedll,replicated,defensive | 
pred_cloth_pos_max | developmentonly,clientdll | 
pred_cloth_pos_multiplier | developmentonly,clientdll | 
pred_cloth_pos_strength | developmentonly,clientdll | 
pred_cloth_rot_high | developmentonly,clientdll | 
pred_cloth_rot_low | developmentonly,clientdll | 
pred_cloth_rot_multiplier | developmentonly,clientdll | 
pred_cloth_smooth_motion | developmentonly,clientdll | 
pred_cloth_vmax | developmentonly,clientdll | 
pred_cloth_vw | developmentonly,clientdll | 
presettle_cloth_iterations | developmentonly,clientdll,defensive | 
prop_debug_collision | gamedll,cheat | Highlights props based on their collision group: COLLISION_GROUP_PROPS(white), COLLISION_GROUP_INTERACTIVE_DEBRIS(green), COLLISION_GROUP_DEBRIS and will return to COLLISION_GROUP_INTERACTIVE_DEBRIS on sleeping(bright red), COLLISION_GROUP_DEBRIS permanently (dark red), COLLISION_GROUP_DEBRIS(blue), OTHER(grey)
prop_nav_ignore_edge_len | developmentonly,gamedll,defensive | 
prop_nav_ignore_mass | developmentonly,gamedll,defensive | 
prop_nav_obstacle_avoid_mass | developmentonly,gamedll,defensive | 
prop_nav_obstacle_avoid_use_connection_blocker | developmentonly,gamedll,defensive | 
prop_nav_obstacle_block_edge_min_ | developmentonly,gamedll,defensive | 
prop_nav_obstacle_block_edge_min_a | developmentonly,gamedll,defensive | 
prop_nav_obstacle_block_edge_min_c | developmentonly,gamedll,defensive | 
prop_nav_obstacle_block_mass_a | developmentonly,gamedll,defensive | 
prop_nav_obstacle_block_mass_b | developmentonly,gamedll,defensive | 
prop_nav_obstacle_block_mass_c | developmentonly,gamedll,defensive | 
props_break_apply_radial_forces | developmentonly,gamedll,clientdll,replicated | 
props_break_max_pieces_perframe | developmentonly,gamedll,clientdll,replicated,defensive | Maximum prop breakable piece count per frame (-1 = model default)
props_break_radial_force_ratio | developmentonly,gamedll,clientdll,replicated | 
pulse_save_execution_history | developmentonly,gamedll,clientdll,replicated | Keep a history of all instructions run on a per graph basis.
pulse_save_execution_history_limit | developmentonly,gamedll,clientdll,replicated | Keep a history of all instructions run on a per graph basis.
pvs_debugentity | gamedll,release | Verbose spew for this entity when doing IsInPVS computation.
pvs_flowtype | gamedll,release | Flow through spawn groups for vis (0 == default, 1 == always visible, 2 == never visible.
pwatchent | clientdll,cheat | Entity to watch for prediction system changes.
pwatchvar | clientdll,cheat | Entity variable to watch in prediction system for changes.
r_AirboatViewDampenDamp | gamedll,clientdll,replicated,cheat | 
r_AirboatViewDampenFreq | gamedll,clientdll,replicated,cheat | 
r_AirboatViewZHeight | gamedll,clientdll,replicated,cheat | 
r_JeepViewDampenDamp | gamedll,clientdll,replicated,cheat | 
r_JeepViewDampenFreq | gamedll,clientdll,replicated,cheat | 
r_JeepViewZHeight | gamedll,clientdll,replicated,cheat | 
r_RainAllowInSplitScreen | developmentonly,clientdll,defensive | Allows rain in splitscreen
r_RainParticleDensity | developmentonly,clientdll,defensive | Density of Particle Rain 0-1
r_add_views_in_pre_output | developmentonly,clientdll,defensive | 
r_always_render_all_windows | developmentonly,defensive | Always force all engine & tools to render
r_aoproxy_debug | clientdll,cheat | 
r_aoproxy_enable | developmentonly,clientdll,defensive | 
r_aoproxy_show | clientdll,cheat | 
r_aspectratio | developmentonly,defensive | 
r_bloom_tent_filter_radius | developmentonly,clientdll,cheat | bloom mip up-sample filtering radius (using 3x3 tent filter, radius in mip level texels), 0.0 radius => box (2x2) filter with (fixed) 1.0 radius
r_cs2_show_icon_editor | developmentonly,clientdll,replicated,cheat,menubar_item | CSGO/Icon Editor
r_csgo_bloom_threshold_all_samples | developmentonly,clientdll | Execute bloom threshold once per sample during downsample (default enabled, higher quality, less bloom aliasing)
r_csgo_bloom_threshold_downsample_jimenez | developmentonly,clientdll | Custom downsample based on Jimenez14, (default enabled, higher quality, decreases bloom aliasing further)
r_csgo_cable_pixel_radius_clamp | developmentonly,clientdll | Minimum clamped size in pixels of a cable (if using F_CLAMP_MIN_RADIUS 1 in cable material)
r_csgo_cmaa_debug_edges | developmentonly,clientdll | debug visualize edges
r_csgo_cmaa_enable | developmentonly,clientdll,defensive | 
r_csgo_cmaa_extra_sharp | developmentonly,clientdll,defensive | trade more sharpness for reduced antialiasing
r_csgo_cmaa_quality | developmentonly,clientdll,defensive | 0=low, 1=medium, 2=high, 3=ultra
r_csgo_csm_max_visible_distance | developmentonly,clientdll | 
r_csgo_csm_max_visible_distance_preview | developmentonly,clientdll | 
r_csgo_csm_override_staticgeo_cascades_alphatest | developmentonly,clientdll,defensive | If lb_csm_override_staticgeo_cascades true, ensure objects with SCENEOBJECTFLAG_ALPHA_TESTED flag will be rendered into cascade.
r_csgo_csm_pushback_distance | developmentonly,clientdll | 
r_csgo_csm_pushback_distance_preview | developmentonly,clientdll | 
r_csgo_cubemap_normalization | clientdll,cheat | 
r_csgo_decal_debug | clientdll,cheat | 
r_csgo_decals_use_msaa | developmentonly,clientdll | 
r_csgo_depth_prepass | clientdll,cheat | 
r_csgo_depth_prepass_cull_threshold | clientdll,cheat | 
r_csgo_depth_prepass_skybox_alpha_tested | clientdll,cheat | 
r_csgo_depth_prepass_skybox_large | clientdll,cheat | 
r_csgo_depth_prepass_skybox_small | clientdll,cheat | 
r_csgo_depth_prepass_skybox_small_cull_threshold | clientdll,cheat | 
r_csgo_depth_prepass_small_cull_threshold | clientdll,cheat | 
r_csgo_depth_prepass_viewmodel | clientdll,cheat | 
r_csgo_directional_lightmaps | clientdll,cheat | 
r_csgo_effects_bloom | clientdll,cheat | 
